Nrules,Complexity,RMSE
514,1027,1094.21691347776
7,13,1000.55217291849
6,11,1018.05959632177
5,9,1043.14568673689
4,7,1072.58792079971
3,5,1105.57673580276
2,3,1425.31794889193
1,1,2032.15811490507
