Nrules,Complexity,RMSE
1562,3123,4.48897377991586
19,37,5.19355708161523
8,15,5.37311611406347
6,11,5.44426908516823
5,9,5.50460547204964
3,5,5.62870026794531
2,3,5.75049937831456
1,1,6.1053872004829
