Nrule,RRMSE
1,0.991333359874648
2,0.97261479761183
3,0.97149022316094
4,0.96904810555588
5,0.968723113907891
6,0.966355294183068
7,0.962339574083124
8,0.955916531978187
9,0.956907863820533
10,0.948117199225141
11,0.949902397442601
12,0.945422635773573
13,0.947088034021489
14,0.945607450410124
15,0.945012454139637
16,0.945988069597814
17,0.938368140729453
18,0.937125870306623
19,0.936003404992527
20,0.937857483534757
21,0.934951612098327
22,0.933962193540911
23,0.936032868420394
24,0.934548377095347
25,0.936272351784232
26,0.931009861949406
27,0.93563317961115
28,0.93296386947361
29,0.932992118611961
30,0.934096252893057
31,0.930892762237676
32,0.934096770013793
33,0.933522908975721
34,0.934594575231736
35,0.93282062188864
36,0.93064127747286
37,0.92467407346931
38,0.930340615877916
39,0.930295025269175
40,0.92864905415688
41,0.932049844316726
42,0.924206354597445
43,0.926537741185929
44,0.925793039670589
45,0.925790667655545
46,0.931406404401077
47,0.928499077212846
48,0.925785263993079
49,0.924882365150357
50,0.920328115741041
51,0.926929587694772
52,0.922548080338986
53,0.913955542685903
54,0.921147919889746
55,0.920650115318806
56,0.924811492577568
57,0.921149560843691
58,0.923796275575614
59,0.917537385471025
60,0.923840356909653
61,0.92195629936027
62,0.92605230655563
63,0.921238274632967
64,0.914289640502066
65,0.921903493700251
66,0.914222311218212
67,0.912900308319155
68,0.913252300544011
69,0.914265304637807
70,0.912876612850324
71,0.920229393933964
72,0.909258179580177
73,0.916302900358402
74,0.915945617946914
75,0.914723342740171
76,0.913462696732417
77,0.905473822441643
78,0.914176241859008
79,0.91383895617069
80,0.911203122719336
81,0.916604829530955
82,0.91152373588453
83,0.909207302720525
84,0.914908308467467
85,0.909886562494093
86,0.914278686674088
87,0.910943375063759
88,0.908254762018442
89,0.914387797133062
90,0.90920298691233
91,0.912074078455233
92,0.914148471880713
93,0.905711119167647
94,0.91148367612044
95,0.914946363693626
96,0.909063291910817
97,0.909810340473202
98,0.906660540204796
99,0.910226096330435
100,0.908762692658136
101,0.969006973287837
102,0.991333359874648
103,0.991333359874648
104,0.969030919450473
105,0.968739745431437
106,0.966422774791684
107,0.96547293026276
108,0.963842524113174
109,0.956840365088436
110,0.956941859712466
111,0.949775976629736
112,0.947090029000912
113,0.947087996741899
114,0.938537072852131
115,0.945668941482073
116,0.945434143391351
117,0.938500265029821
118,0.945433675501721
119,0.93776377464811
120,0.935118256891799
121,0.93710036502714
122,0.935885054265169
123,0.938134092768327
124,0.936571209060987
125,0.936398904838901
126,0.968998055303466
127,0.968739745431437
128,0.966429471006787
129,0.965521766204939
130,0.963906263707009
131,0.956892956117092
132,0.956860831906207
133,0.948079088269612
134,0.949968565346445
135,0.947088119975828
136,0.947087996741899
137,0.945748879362255
138,0.935071294705674
139,0.936384138483657
140,0.935603381987477
141,0.945960382135926
142,0.937113262426572
143,0.93783711675619
144,0.934914189757857
145,0.93689011288709
146,0.93780699337187
147,0.93489527213221
