Nrules,Complexity,RMSE
93,185,36083.302999539
15,29,38365.6833258874
10,19,40798.9350184367
9,17,41964.2633398828
8,15,42199.9348581005
7,13,43184.4414740099
5,9,45454.110845455
4,7,47946.5116095204
3,5,48852.0473483284
2,3,56100.9722326306
1,1,74075.2802529854
