Nrules,Complexity,RMSE
999,1997,37265.5958944545
13,25,36030.2774338928
8,15,37084.3092796139
6,11,37783.4458149038
5,9,38158.2370505446
3,5,39257.1921907659
2,3,40632.8299676517
1,1,42935.0919275554
