Nrule,RRMSE
1,0.903906853362442
2,0.912431288347741
3,0.878272035331349
4,0.836250983713893
5,0.845299992213302
6,0.809232034564541
7,0.796708755440404
8,0.786203390092513
9,0.747125361585418
10,0.735169343821904
11,0.698926363964663
12,0.694104080562636
13,0.672324587156329
14,0.650329505971633
15,0.642891370296884
16,0.628996406397249
17,0.623187607536882
18,0.616619197571982
19,0.599553579795941
20,0.616881109289093
21,0.582628595464196
22,0.567669282319006
23,0.556464554704089
24,0.562855239576629
25,0.569163544712538
26,0.555018542685278
27,0.554860813271191
28,0.513933809493284
29,0.514865571506087
30,0.520583901512596
31,0.516974188512266
32,0.507725131333993
33,0.493574112183639
34,0.459910346413321
35,0.473158430536427
36,0.45196532316039
37,0.447371327072153
38,0.446428635845272
39,0.428137974465901
40,0.427324765483553
41,0.425518344084124
42,0.40811581759433
43,0.405412023322917
44,0.402029499957574
45,0.402156793944801
46,0.412365495930278
47,0.400218589522903
48,0.397506896412544
49,0.39843980080962
50,0.396554571354093
51,0.390581965866516
52,0.394725088823432
53,0.387986551107673
54,0.391293853332863
55,0.387681185946559
56,0.387642033684965
57,0.381820281198641
58,0.376024426644092
59,0.380275857982986
60,0.361666971477604
61,0.368254230366705
62,0.36879963918194
63,0.363284756596913
64,0.359958202490203
65,0.36737358293381
66,0.347707692637381
67,0.348905296963299
68,0.353739473246553
69,0.36323317605701
70,0.352451134450833
71,0.357347370288628
72,0.339484001188978
73,0.340098711364615
74,0.339717398906619
75,0.351705012261213
76,0.337702905491129
77,0.334997579334196
78,0.341385034769833
79,0.339093828508192
80,0.338079652913081
81,0.338280071574808
82,0.335125547910603
83,0.333435999286592
84,0.334649724489785
85,0.332709602619457
86,0.333091748654177
87,0.330348047410257
88,0.331574959410197
89,0.325012962986506
90,0.326392285430441
91,0.327693886970524
92,0.323705702158248
93,0.326472113832425
94,0.31941150509284
95,0.322848392893284
96,0.309302974465727
97,0.324758351089798
98,0.318739507602847
99,0.323117648696433
100,0.316559754513145
101,0.836250983713893
102,0.845299992213302
103,0.809232034564541
104,0.796708755440404
105,0.786203390092513
106,0.783426138579374
107,0.75089144583456
108,0.741098832293477
109,0.714050168294596
110,0.707238639316552
111,0.6930935576322
112,0.677175176549726
113,0.660519201112381
114,0.654604065770885
115,0.649059893740355
116,0.643777999405988
117,0.640412006012677
118,0.632945115238256
119,0.611405027788048
120,0.62709925309207
121,0.62344107395157
122,0.608177287796363
