Nrules,Complexity,RMSE
590,1179,0.0177595746746281
35,69,0.023399470659658
18,35,0.0263158947654222
12,23,0.027990837274202
10,19,0.0284646088494898
6,11,0.030368234885824
5,9,0.0308874584296082
4,7,0.0320368392341748
3,5,0.0333712155222778
2,3,0.0345024726100836
1,1,0.0363055208185535
